Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Diana;0;1;1;0;100;0.9;1;5;3;6;04.07;403;09.13;19.2k;435;73.3%;33.3%;23.4%
Caitlyn;0;1;1;0;100;0.9;1;4;1;6;10.00;270;09.12;14k;473;90.9%;36.4%;24.2%
Talon;0;1;0;1;0;0.9;1;1;2;0;00.50;245;07.31;10.3k;307;50%;50%;20.3%
Warwick;1;0;0;0;-;0.9;-;-;-;-;-;-;-;-;-;-;-;-
Jinx;0;1;0;1;0;0.9;1;0;3;3;01.00;297;08.25;13.1k;364;50%;0%;23.4%
Cassiopeia;0;1;1;0;100;0.9;1;1;0;3;04.00;344;10.27;14.9k;428;33.3%;8.3%;22.4%
Rumble;0;1;0;1;0;0.9;1;1;3;5;02.00;122;04.34;9.7k;313;100%;16.7%;19.3%
Nunu;0;1;0;1;0;0.9;1;0;4;4;01.00;98;03.57;8.1k;295;66.7%;0%;19.2%
Blitzcrank;0;1;0;1;0;0.9;1;2;3;5;02.33;39;01.12;9.8k;281;77.8%;22.2%;17%
Rengar;0;1;1;0;100;0.9;1;4;2;8;06.00;100;04.08;10.2k;417;50%;16.7%;18.9%
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
