Champion;B;G;W;L;WR;PB%;By;K;D;A;KDA;CS;CSPM;G;GPM;KPAR;KS;GS
Lulu;0;1;0;1;0;0.5;1;0;3;6;02.00;22;01.08;8.1k;250;75%;0%;15.1%
Urgot;0;1;0;1;0;0.5;1;1;4;2;01.15;176;06.54;8.4k;312;75%;25%;20.4%
Kayle;0;1;0;1;0;0.5;1;2;5;3;01.00;239;07.04;11.1k;327;83.3%;33.3%;20.1%
Rengar;0;1;0;1;0;0.5;1;0;3;2;01.07;112;04.11;8.6k;285;40%;0%;18.6%
Akali;0;1;0;1;0;0.5;1;7;8;8;02.28;194;06.27;13.2k;399;48.4%;22.6%;19.4%
Zac;0;1;0;1;0;0.5;1;1;1;5;06.00;377;07.43;17.1k;337;75%;12.5%;19.6%
Vayne;0;1;1;0;100;0.5;1;5;3;6;04.07;359;8;19.6k;437;61.1%;27.8%;22.5%
Miss Fortune;0;1;1;0;100;0.5;1;6;0;6;12.00;307;8.6;15.3k;428;80%;40%;23%
Jinx;0;1;0;1;0;0.5;1;1;4;1;00.50;215;08.58;9.2k;367;50%;25%;23.5%
Corki;0;1;0;1;0;0.5;1;1;0;0;01.00;349;10;13.2k;378;50%;50%;24.5%
Orianna;0;1;0;1;0;0.5;1;0;5;1;00.20;202;07.21;8.6k;307;33.3%;0%;20.8%
Nunu;0;1;0;1;0;0.5;1;0;4;4;01.00;145;03.43;12.4k;293;66.7%;0%;18%
